____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 17:21:40 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  41354.6 wakeup/s;CPU:  346.7% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 30.4%;6474.0;Process;[PID 2624245] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  26.0 W  
 28.2%;5648.4;Process;[PID 2624252] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  22.8 W  
 28.5%;5511.9;Process;[PID 2624248] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  22.2 W  
 16.4%;3496.3;Process;[PID 2624249] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  14.1 W  
  1.4%;2778.1;Timer;tick_sched_timer;  11.0 W  
 11.1%;2364.8;Process;[PID 2624250] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  9.51 W  
 32.5%;1477.0;Process;[PID 2624251] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  6.34 W  
  0.8%;1512.8;Interrupt;[106] nvme1q14;  5.99 W  
  0.4%;1232.3;Interrupt;[124] nvme4q18;  4.87 W  
 16.1%;706.0;Process;[PID 2624294] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  3.04 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.1%
C1;  6.1%
C1E;  5.8%
C6; 77.3%
;
;
;
;
;

;Core 0
POLL;  0.2%
C1;  8.9%
C1E;  7.3%
C6; 72.7%
;Core 1
POLL;  0.0%
C1;  8.1%
C1E;  8.9%
C6; 72.2%
;Core 2
POLL;  0.0%
C1; 11.3%
C1E;  8.5%
C6; 70.5%
;Core 3
POLL;  0.2%
C1;  1.0%
C1E;  1.8%
C6; 62.6%
;Core 4
POLL;  0.0%
C1;  2.9%
C1E;  2.3%
C6; 87.6%
;Core 8
POLL;  0.0%
C1;  4.7%
C1E;  5.1%
C6; 81.2%
;Core 9
POLL;  0.0%
C1;  6.6%
C1E;  7.5%
C6; 79.5%
;Core 10
POLL;  0.0%
C1;  1.1%
C1E;  2.1%
C6; 93.7%
;Core 11
POLL;  0.2%
C1;  7.5%
C1E;  3.4%
C6; 67.6%
;Core 16
POLL;  0.0%
C1;  3.2%
C1E;  1.1%
C6; 89.8%
;Core 17
POLL;  0.1%
C1; 10.0%
C1E;  2.6%
C6; 70.9%
;Core 18
POLL;  0.0%
C1;  2.3%
C1E; 11.3%
C6; 81.3%
;Core 19
POLL;  0.0%
C1;  6.9%
C1E; 11.8%
C6; 71.4%
;Core 20
POLL;  0.0%
C1; 18.5%
C1E; 10.5%
C6; 48.8%
;Core 24
POLL;  0.1%
C1;  6.2%
C1E;  5.7%
C6; 76.6%
;Core 25
POLL;  0.1%
C1;  1.7%
C1E;  3.6%
C6; 89.3%
;Core 26
POLL;  0.0%
C1;  3.3%
C1E;  4.4%
C6; 87.4%
;Core 27
POLL;  0.3%
C1;  4.9%
C1E;  5.0%
C6; 76.2%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.3%;   0.0 ms;  0.0%;   0.0 ms
C1; 15.3%;   0.1 ms;  2.5%;   0.1 ms
C1E; 11.6%;   0.4 ms;  3.0%;   0.3 ms
C6; 54.2%;   0.8 ms; 91.1%;   5.8 ms
CPU;1;CPU;19
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 14.7%;   0.1 ms;  1.4%;   0.1 ms
C1E;  7.3%;   0.5 ms; 10.5%;   0.4 ms
C6; 59.4%;   1.8 ms; 84.9%;   3.8 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 14.3%;   0.1 ms;  8.2%;   0.2 ms
C1E;  5.4%;   0.3 ms; 11.5%;   0.4 ms
C6; 67.9%;   2.0 ms; 73.1%;   2.0 ms
CPU;3;CPU;21
POLL;  0.5%;   0.0 ms;  0.0%;   0.0 ms
C1;  2.0%;   0.2 ms;  0.0%;   0.0 ms
C1E;  1.7%;   0.2 ms;  1.8%;   0.2 ms
C6; 29.2%;   0.4 ms; 96.0%;   2.5 ms
CPU;4;CPU;22
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  5.7%;   0.1 ms;  0.0%;   0.0 ms
C1E;  3.3%;   0.2 ms;  1.4%;   0.6 ms
C6; 78.4%;   2.3 ms; 96.7%;   3.7 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  9.4%
   0.1 ms;  0.0%;   0.0 ms;C1E;  9.6%
   0.5 ms;  0.7%;   0.2 ms;C6; 66.0%
   1.7 ms; 96.2%;   2.7 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1; 12.3%
   0.1 ms;  1.0%;   0.1 ms;C1E;  6.7%
   0.4 ms;  8.3%;   0.5 ms;C6; 70.1%
   1.6 ms; 88.8%;   5.4 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  2.2%
   0.1 ms;  0.0%;   0.0 ms;C1E;  3.2%
   0.2 ms;  1.1%;   0.1 ms;C6; 89.7%
   1.6 ms; 97.6%;   4.0 ms;CPU
8;CPU;26;POLL;  0.5%
   0.0 ms;  0.0%;   0.0 ms;C1; 14.1%
   0.1 ms;  1.0%;   0.1 ms;C1E;  5.5%
   0.2 ms;  1.2%;   0.5 ms;C6; 39.0%
   0.7 ms; 96.1%;   3.6 ms;
CPU;9
CPU;27;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  6.2%;   0.1 ms
  0.2%;   1.2 ms;C1E;  2.1%;   0.3 ms
  0.0%;   0.0 ms;C6; 80.0%;   3.1 ms
 99.6%;  21.9 ms;CPU;10
CPU;28;POLL;  0.2%;   0.0 ms
  0.0%;   0.0 ms;C1; 19.7%;   0.1 ms
  0.3%;   0.7 ms;C1E;  4.9%;   0.2 ms
  0.2%;   0.1 ms;C6; 44.3%;   1.0 ms
 97.4%;   3.9 ms;CPU;11
CPU;29;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  4.5%;   0.1 ms
  0.0%;   0.0 ms;C1E;  3.1%;   0.6 ms
 19.5%;   0.7 ms;C6; 82.7%;   7.7 ms
 79.8%;   7.8 ms;CPU;12
CPU;30;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 13.8%;   0.1 ms
  0.0%;   0.0 ms;C1E;  6.0%;   0.5 ms
 17.6%;   0.4 ms;C6; 62.4%;   1.9 ms
 80.3%;   3.7 ms;CPU;13
CPU;31;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 37.0%;   0.1 ms
  0.0%;   0.0 ms;C1E;  5.4%;   0.5 ms
 15.7%;   0.5 ms;C6; 14.4%;   1.3 ms
 83.2%;   4.8 ms;
CPU;14;CPU;32
POLL;  0.3%;   0.0 ms;  0.0%;   0.0 ms
C1; 12.3%;   0.1 ms;  0.0%;   0.0 ms
C1E;  6.6%;   0.3 ms;  4.8%;   0.7 ms
C6; 58.8%;   0.9 ms; 94.3%;   6.7 ms
CPU;15;CPU;33
POLL;  0.2%;   0.0 ms;  0.0%;   0.0 ms
C1;  3.4%;   0.2 ms;  0.0%;   0.0 ms
C1E;  6.8%;   0.3 ms;  0.4%;   0.1 ms
C6; 80.4%;   1.7 ms; 98.2%;   4.3 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  6.6%;   0.1 ms;  0.0%;   0.0 ms
C1E;  8.7%;   0.6 ms;  0.0%;   0.0 ms
C6; 74.8%;   2.3 ms; 99.9%;  59.4 ms
CPU;17;CPU;35
POLL;  0.5%;   0.0 ms;  0.0%;   0.0 ms
C1;  9.9%;   0.1 ms;  0.0%;   0.0 ms
C1E;  9.8%;   0.2 ms;  0.3%;   0.2 ms
C6; 53.6%;   0.4 ms; 98.8%;   3.9 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
