____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 17:08:30 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  47586.8 wakeup/s;CPU:  344.4% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 32.9%;6640.0;Process;[PID 2624249] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  26.7 W  
 28.6%;5128.2;Process;[PID 2624245] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  20.7 W  
 22.8%;4475.3;Process;[PID 2624253] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  18.0 W  
 24.2%;4443.4;Process;[PID 2624247] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  17.9 W  
 20.9%;3924.5;Process;[PID 2624248] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  15.8 W  
 21.1%;3819.7;Process;[PID 2624250] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  15.4 W  
 18.5%;3364.7;Process;[PID 2624251] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  13.6 W  
  1.2%;2764.7;Timer;tick_sched_timer;  10.9 W  
  1.4%;1406.0;Interrupt;[170] nvme2q10;  5.58 W  
  0.8%;920.0;Interrupt;[101] nvme2q4;  3.65 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.0%
C1;  8.0%
C1E;  4.7%
C6; 76.8%
;
;
;
;
;

;Core 0
POLL;  0.0%
C1;  8.7%
C1E; 11.6%
C6; 68.5%
;Core 1
POLL;  0.1%
C1; 15.8%
C1E;  9.0%
C6; 57.1%
;Core 2
POLL;  0.0%
C1;  4.7%
C1E;  4.0%
C6; 83.9%
;Core 3
POLL;  0.0%
C1; 14.1%
C1E;  4.4%
C6; 63.9%
;Core 4
POLL;  0.0%
C1; 11.8%
C1E;  5.5%
C6; 68.6%
;Core 8
POLL;  0.0%
C1;  5.6%
C1E;  2.7%
C6; 84.5%
;Core 9
POLL;  0.0%
C1;  2.1%
C1E;  2.3%
C6; 90.7%
;Core 10
POLL;  0.0%
C1; 11.6%
C1E;  6.7%
C6; 72.1%
;Core 11
POLL;  0.1%
C1; 13.4%
C1E;  7.0%
C6; 62.9%
;Core 16
POLL;  0.0%
C1; 13.6%
C1E;  3.7%
C6; 69.2%
;Core 17
POLL;  0.0%
C1;  8.4%
C1E;  3.5%
C6; 79.1%
;Core 18
POLL;  0.0%
C1;  2.1%
C1E;  3.4%
C6; 90.8%
;Core 19
POLL;  0.0%
C1;  0.6%
C1E;  2.4%
C6; 93.5%
;Core 20
POLL;  0.4%
C1;  6.4%
C1E;  1.2%
C6; 66.6%
;Core 24
POLL;  0.0%
C1;  5.7%
C1E;  3.0%
C6; 84.3%
;Core 25
POLL;  0.0%
C1;  1.5%
C1E;  3.4%
C6; 91.6%
;Core 26
POLL;  0.0%
C1;  6.7%
C1E;  6.8%
C6; 77.0%
;Core 27
POLL;  0.1%
C1;  9.2%
C1E;  4.0%
C6; 65.2%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.0%;   0.0 ms;  0.1%;   0.0 ms
C1;  8.3%;   0.1 ms;  9.0%;   0.1 ms
C1E; 11.9%;   0.3 ms; 11.4%;   0.5 ms
C6; 68.9%;   2.3 ms; 68.0%;   2.0 ms
CPU;1;CPU;19
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 27.4%;   0.1 ms;  4.2%;   0.1 ms
C1E;  3.9%;   0.3 ms; 14.2%;   0.7 ms
C6; 42.0%;   1.9 ms; 72.0%;   2.0 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  8.8%;   0.1 ms;  0.6%;   0.1 ms
C1E;  5.9%;   0.4 ms;  2.2%;   0.6 ms
C6; 74.0%;   2.2 ms; 93.6%;   3.3 ms
CPU;3;CPU;21
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 27.9%;   0.1 ms;  0.2%;   0.1 ms
C1E;  7.0%;   0.4 ms;  1.8%;   0.3 ms
C6; 31.2%;   2.3 ms; 96.5%;   4.4 ms
CPU;4;CPU;22
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 22.7%;   0.1 ms;  0.9%;   0.1 ms
C1E;  9.7%;   0.6 ms;  1.2%;   0.4 ms
C6; 41.2%;   2.6 ms; 96.0%;  18.3 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  6.3%
   0.1 ms;  4.8%;   0.1 ms;C1E;  4.4%
   0.4 ms;  1.0%;   0.3 ms;C6; 80.0%
   3.9 ms; 88.9%;   3.0 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  4.0%
   0.1 ms;  0.1%;   0.3 ms;C1E;  3.9%
   0.3 ms;  0.7%;   0.1 ms;C6; 84.3%
   1.9 ms; 96.9%;   2.9 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1; 23.1%
   0.1 ms;  0.0%;   0.0 ms;C1E; 12.6%
   0.3 ms;  0.7%;   0.5 ms;C6; 46.0%
   0.9 ms; 98.1%;  11.9 ms;CPU
8;CPU;26;POLL;  0.2%
   0.0 ms;  0.0%;   0.0 ms;C1; 26.8%
   0.1 ms;  0.0%;   0.0 ms;C1E; 12.0%
   0.3 ms;  2.0%;   0.3 ms;C6; 28.9%
   0.9 ms; 96.7%;   2.6 ms;
CPU;9
CPU;27;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 26.9%;   0.1 ms
  0.2%;   0.3 ms;C1E;  0.9%;   0.1 ms
  6.5%;   0.3 ms;C6; 47.4%;   2.5 ms
 90.9%;   2.2 ms;CPU;10
CPU;28;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 16.8%;   0.1 ms
  0.0%;   0.0 ms;C1E;  6.9%;   0.3 ms
  0.2%;   0.2 ms;C6; 59.5%;   2.1 ms
 98.7%;   6.5 ms;CPU;11
CPU;29;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  3.9%;   0.1 ms
  0.3%;   0.1 ms;C1E;  4.2%;   0.4 ms
  2.6%;   0.6 ms;C6; 85.4%;   3.5 ms
 96.1%;   9.4 ms;CPU;12
CPU;30;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  0.9%;   0.4 ms
  0.3%;   0.8 ms;C1E;  4.1%;   0.4 ms
  0.7%;   0.4 ms;C6; 89.3%;   1.8 ms
 97.6%;   4.6 ms;CPU;13
CPU;31;POLL;  0.9%;   0.0 ms
  0.0%;   0.0 ms;C1; 12.8%;   0.1 ms
  0.0%;   0.0 ms;C1E;  2.3%;   0.2 ms
  0.1%;   0.1 ms;C6; 33.7%;   0.3 ms
 99.4%;   4.3 ms;
CPU;14;CPU;32
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 10.7%;   0.1 ms;  0.6%;   0.8 ms
C1E;  5.7%;   0.6 ms;  0.3%;   0.2 ms
C6; 70.2%;   4.3 ms; 98.2%;   7.6 ms
CPU;15;CPU;33
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  2.7%;   0.1 ms;  0.3%;   0.7 ms
C1E;  6.3%;   0.5 ms;  0.5%;   0.3 ms
C6; 85.4%;   2.3 ms; 97.7%;   6.0 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 13.5%;   0.1 ms;  0.0%;   0.0 ms
C1E;  9.1%;   0.6 ms;  4.4%;   0.5 ms
C6; 59.5%;   1.9 ms; 94.4%;   6.0 ms
CPU;17;CPU;35
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 17.7%;   0.1 ms;  0.6%;   0.6 ms
C1E;  5.4%;   0.3 ms;  2.5%;   0.5 ms
C6; 35.1%;   0.6 ms; 95.3%;   5.4 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
