____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 17:07:38 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  39419.6 wakeup/s;CPU:  475.0% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 28.4%;5506.2;Process;[PID 2624253] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  22.2 W  
 26.0%;4992.0;Process;[PID 2624248] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  20.1 W  
 27.0%;4887.4;Process;[PID 2624250] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  19.7 W  
 21.8%;3777.2;Process;[PID 2624245] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  15.3 W  
 17.1%;3229.8;Process;[PID 2624251] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  13.0 W  
  1.6%;3085.3;Timer;tick_sched_timer;  12.2 W  
  1.5%;1513.2;Interrupt;[174] nvme1q17;  6.00 W  
  0.9%;1372.5;Interrupt;[103] nvme4q2;  5.44 W  
  0.2%;928.6;Interrupt;[84] nvme4q1;  3.67 W  
 71.0%;481.9;Process;[PID 2624249] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  3.01 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.1%
C1;  5.5%
C1E;  5.0%
C6; 74.5%
;
;
;
;
;

;Core 0
POLL;  0.2%
C1;  8.9%
C1E;  5.9%
C6; 65.7%
;Core 1
POLL;  0.2%
C1; 14.3%
C1E;  9.2%
C6; 56.3%
;Core 2
POLL;  0.0%
C1;  1.7%
C1E;  4.0%
C6; 83.7%
;Core 3
POLL;  0.0%
C1;  1.2%
C1E;  1.0%
C6; 63.5%
;Core 4
POLL;  0.0%
C1;  3.7%
C1E;  8.3%
C6; 79.7%
;Core 8
POLL;  0.0%
C1;  1.3%
C1E;  3.3%
C6; 89.2%
;Core 9
POLL;  0.0%
C1;  1.9%
C1E;  0.8%
C6; 93.2%
;Core 10
POLL;  0.0%
C1;  0.1%
C1E;  2.1%
C6; 94.5%
;Core 11
POLL;  0.2%
C1;  2.4%
C1E;  5.7%
C6; 64.7%
;Core 16
POLL;  0.1%
C1;  2.0%
C1E;  3.3%
C6; 80.9%
;Core 17
POLL;  0.0%
C1;  0.8%
C1E;  3.1%
C6; 88.6%
;Core 18
POLL;  0.0%
C1;  4.1%
C1E;  2.8%
C6; 90.0%
;Core 19
POLL;  0.0%
C1;  9.9%
C1E;  8.5%
C6; 72.3%
;Core 20
POLL;  0.3%
C1;  5.0%
C1E;  8.2%
C6; 58.5%
;Core 24
POLL;  0.0%
C1;  9.9%
C1E;  5.8%
C6; 68.6%
;Core 25
POLL;  0.0%
C1;  9.4%
C1E;  4.9%
C6; 69.6%
;Core 26
POLL;  0.1%
C1; 17.8%
C1E;  9.9%
C6; 53.9%
;Core 27
POLL;  0.7%
C1;  3.5%
C1E;  1.8%
C6; 56.5%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.3%;   0.0 ms;  0.1%;   0.0 ms
C1; 12.4%;   0.1 ms;  5.4%;   0.1 ms
C1E;  3.6%;   0.3 ms;  8.2%;   0.6 ms
C6; 55.5%;   0.5 ms; 75.8%;   2.2 ms
CPU;1;CPU;19
POLL;  0.3%;   0.0 ms;  0.0%;   0.0 ms
C1; 23.2%;   0.1 ms;  5.5%;   0.1 ms
C1E; 11.4%;   0.2 ms;  7.0%;   0.5 ms
C6; 33.9%;   0.6 ms; 78.7%;   3.0 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  2.5%;   0.1 ms;  0.9%;   0.1 ms
C1E;  4.7%;   0.6 ms;  3.4%;   0.2 ms
C6; 75.7%;   2.0 ms; 91.5%;   2.4 ms
CPU;3;CPU;21
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  2.4%;   0.1 ms;  0.0%;   0.0 ms
C1E;  1.6%;   0.2 ms;  0.4%;   0.2 ms
C6; 27.8%;   1.1 ms; 99.1%;   6.5 ms
CPU;4;CPU;22
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  7.0%;   0.1 ms;  0.4%;   0.1 ms
C1E; 11.1%;   0.4 ms;  5.5%;   0.6 ms
C6; 68.2%;   1.8 ms; 91.1%;   3.0 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  2.6%
   0.1 ms;  0.1%;   0.2 ms;C1E;  5.9%
   0.7 ms;  0.7%;   0.2 ms;C6; 80.9%
   1.8 ms; 97.3%;   2.6 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  3.5%
   0.1 ms;  0.4%;   1.8 ms;C1E;  1.5%
   0.3 ms;  0.1%;   0.1 ms;C6; 87.6%
   3.6 ms; 98.7%;   6.9 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  0.0%
   0.0 ms;  0.2%;   0.3 ms;C1E;  2.5%
   0.2 ms;  1.8%;   0.2 ms;C6; 92.3%
   1.6 ms; 96.5%;   3.8 ms;CPU
8;CPU;26;POLL;  0.4%
   0.0 ms;  0.0%;   0.0 ms;C1;  4.2%
   0.1 ms;  0.6%;   0.8 ms;C1E;  4.1%
   0.2 ms;  7.4%;   0.2 ms;C6; 39.4%
   0.6 ms; 89.9%;   2.1 ms;
CPU;9
CPU;27;POLL;  0.1%;   0.0 ms
  0.0%;   0.0 ms;C1;  3.9%;   0.1 ms
  0.0%;   0.0 ms;C1E;  4.9%;   0.6 ms
  1.6%;   0.2 ms;C6; 65.6%;   2.0 ms
 96.1%;   1.4 ms;CPU;10
CPU;28;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  1.2%;   0.2 ms
  0.3%;   0.4 ms;C1E;  1.4%;   0.4 ms
  4.9%;   0.3 ms;C6; 83.6%;   2.5 ms
 93.6%;   4.0 ms;CPU;11
CPU;29;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  7.1%;   0.2 ms
  1.1%;   2.2 ms;C1E;  5.5%;   0.4 ms
  0.1%;   0.1 ms;C6; 81.4%;   5.1 ms
 98.4%;  10.2 ms;CPU;12
CPU;30;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 19.7%;   0.1 ms
  0.0%;   0.0 ms;C1E; 10.9%;   0.4 ms
  6.1%;   0.6 ms;C6; 51.3%;   1.7 ms
 93.2%;   9.5 ms;CPU;13
CPU;31;POLL;  0.6%;   0.0 ms
  0.0%;   0.0 ms;C1;  9.8%;   0.1 ms
  0.3%;   1.5 ms;C1E;  5.6%;   0.3 ms
 10.8%;   0.9 ms;C6; 28.1%;   0.5 ms
 88.9%;  50.0 ms;
CPU;14;CPU;32
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 19.8%;   0.1 ms;  0.0%;   0.0 ms
C1E;  6.7%;   0.4 ms;  4.9%;   0.3 ms
C6; 44.0%;   1.8 ms; 93.2%;   3.4 ms
CPU;15;CPU;33
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 18.5%;   0.1 ms;  0.3%;   0.6 ms
C1E;  8.8%;   0.5 ms;  1.0%;   0.2 ms
C6; 42.3%;   1.0 ms; 96.8%;   3.4 ms
CPU;16;CPU;34
POLL;  0.2%;   0.0 ms;  0.0%;   0.0 ms
C1; 35.2%;   0.1 ms;  0.4%;   1.3 ms
C1E; 11.1%;   0.3 ms;  8.6%;   0.4 ms
C6; 17.6%;   0.3 ms; 90.0%;   6.8 ms
CPU;17;CPU;35
POLL;  1.3%;   0.0 ms;  0.0%;   0.0 ms
C1;  5.9%;   0.1 ms;  1.2%;   2.9 ms
C1E;  3.5%;   0.2 ms;  0.0%;   0.0 ms
C6; 14.2%;   0.2 ms; 98.8%;  11.9 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;

____________________________________________________________________
