____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 17:08:23 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  52253.6 wakeup/s;CPU:  313.2% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 24.4%;5266.5;Process;[PID 2624253] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  21.2 W  
 27.1%;5097.5;Process;[PID 2624249] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  20.6 W  
 25.4%;4322.7;Process;[PID 2624247] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  17.5 W  
 19.2%;4279.5;Process;[PID 2624251] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  17.2 W  
 21.3%;4256.0;Process;[PID 2624248] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  17.1 W  
 23.3%;4180.9;Process;[PID 2624245] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  16.9 W  
 22.8%;4081.3;Process;[PID 2624250] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  16.5 W  
  1.5%;3100.0;Timer;tick_sched_timer;  12.3 W  
  1.1%;1515.7;Interrupt;[76] nvme1q8;  6.00 W  
  0.7%;1349.5;Interrupt;[115] nvme4q9;  5.34 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.1%
C1;  8.3%
C1E;  6.2%
C6; 73.1%
;
;
;
;
;

;Core 0
POLL;  0.0%
C1; 20.2%
C1E; 10.4%
C6; 48.0%
;Core 1
POLL;  0.0%
C1;  3.4%
C1E;  7.7%
C6; 79.6%
;Core 2
POLL;  0.0%
C1;  4.0%
C1E;  2.5%
C6; 83.8%
;Core 3
POLL;  0.3%
C1;  2.6%
C1E;  2.4%
C6; 66.9%
;Core 4
POLL;  0.0%
C1;  8.6%
C1E; 12.2%
C6; 67.3%
;Core 8
POLL;  0.0%
C1; 13.2%
C1E;  3.8%
C6; 66.1%
;Core 9
POLL;  0.0%
C1;  8.1%
C1E;  4.8%
C6; 73.9%
;Core 10
POLL;  0.0%
C1; 12.7%
C1E;  6.7%
C6; 66.0%
;Core 11
POLL;  0.1%
C1; 13.7%
C1E;  6.8%
C6; 51.9%
;Core 16
POLL;  0.0%
C1;  4.3%
C1E;  3.6%
C6; 86.6%
;Core 17
POLL;  0.0%
C1;  1.9%
C1E;  2.9%
C6; 88.1%
;Core 18
POLL;  0.0%
C1;  5.4%
C1E; 10.7%
C6; 77.3%
;Core 19
POLL;  0.0%
C1;  3.1%
C1E;  3.0%
C6; 89.4%
;Core 20
POLL;  0.2%
C1; 15.9%
C1E;  4.6%
C6; 62.2%
;Core 24
POLL;  0.0%
C1; 12.0%
C1E; 10.7%
C6; 63.4%
;Core 25
POLL;  0.1%
C1;  5.0%
C1E;  5.9%
C6; 80.8%
;Core 26
POLL;  0.0%
C1;  2.9%
C1E;  4.5%
C6; 87.9%
;Core 27
POLL;  0.4%
C1; 10.4%
C1E;  6.9%
C6; 65.3%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 30.2%;   0.1 ms; 10.2%;   0.1 ms
C1E;  8.9%;   0.5 ms; 12.0%;   1.3 ms
C6; 30.2%;   1.7 ms; 65.8%;   3.0 ms
CPU;1;CPU;19
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  6.6%;   0.1 ms;  0.3%;   0.1 ms
C1E;  8.1%;   0.7 ms;  7.3%;   0.4 ms
C6; 69.2%;   1.8 ms; 90.0%;   4.1 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  2.4%;   0.1 ms;  5.7%;   0.1 ms
C1E;  2.9%;   0.3 ms;  2.0%;   0.4 ms
C6; 80.8%;   5.6 ms; 86.7%;   3.9 ms
CPU;3;CPU;21
POLL;  0.7%;   0.0 ms;  0.0%;   0.0 ms
C1;  5.2%;   0.1 ms;  0.0%;   0.0 ms
C1E;  3.1%;   0.5 ms;  1.7%;   0.2 ms
C6; 37.1%;   0.5 ms; 96.5%;   2.1 ms
CPU;4;CPU;22
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 17.0%;   0.1 ms;  0.3%;   0.4 ms
C1E;  4.8%;   0.3 ms; 19.5%;   0.3 ms
C6; 56.6%;   1.7 ms; 78.0%;   3.9 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1; 26.4%
   0.1 ms;  0.0%;   0.0 ms;C1E;  7.0%
   0.4 ms;  0.5%;   0.2 ms;C6; 36.2%
   1.7 ms; 95.9%;   4.3 ms;CPU
6;CPU;24;POLL;  0.1%
   0.0 ms;  0.0%;   0.0 ms;C1; 16.1%
   0.1 ms;  0.0%;   0.0 ms;C1E;  9.0%
   0.4 ms;  0.7%;   0.2 ms;C6; 49.8%
   1.3 ms; 97.8%;   2.9 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1; 25.3%
   0.1 ms;  0.0%;   0.0 ms;C1E; 10.3%
   0.4 ms;  3.1%;   0.4 ms;C6; 36.4%
   0.9 ms; 95.5%;   4.1 ms;CPU
8;CPU;26;POLL;  0.3%
   0.0 ms;  0.0%;   0.0 ms;C1; 27.4%
   0.1 ms;  0.0%;   0.0 ms;C1E;  5.0%
   0.5 ms;  8.7%;   0.6 ms;C6; 13.2%
   0.6 ms; 90.4%;   4.3 ms;
CPU;9
CPU;27;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  8.4%;   0.1 ms
  0.1%;   0.4 ms;C1E;  6.6%;   0.4 ms
  0.6%;   0.3 ms;C6; 74.9%;   2.7 ms
 98.3%;   6.9 ms;CPU;10
CPU;28;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  3.5%;   0.1 ms
  0.2%;   0.3 ms;C1E;  5.1%;   0.4 ms
  0.7%;   0.2 ms;C6; 79.3%;   1.4 ms
 96.7%;   2.9 ms;CPU;11
CPU;29;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  9.3%;   0.1 ms
  1.6%;   0.1 ms;C1E;  7.2%;   0.5 ms
 14.2%;   0.8 ms;C6; 72.4%;   2.3 ms
 82.2%;   8.1 ms;CPU;12
CPU;30;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  6.2%;   0.1 ms
  0.0%;   0.0 ms;C1E;  5.9%;   1.1 ms
  0.0%;   0.1 ms;C6; 79.4%;   2.6 ms
 99.4%;  11.6 ms;CPU;13
CPU;31;POLL;  0.3%;   0.0 ms
  0.0%;   0.0 ms;C1; 30.8%;   0.1 ms
  0.9%;   0.1 ms;C1E;  8.0%;   0.3 ms
  1.2%;   0.4 ms;C6; 27.7%;   0.8 ms
 96.6%;   3.3 ms;
CPU;14;CPU;32
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 23.8%;   0.1 ms;  0.3%;   0.9 ms
C1E; 15.4%;   0.4 ms;  6.1%;   0.3 ms
C6; 33.6%;   1.1 ms; 93.0%;  12.6 ms
CPU;15;CPU;33
POLL;  0.2%;   0.0 ms;  0.0%;   0.0 ms
C1;  9.8%;   0.1 ms;  0.3%;   1.4 ms
C1E; 11.8%;   0.4 ms;  0.0%;   0.0 ms
C6; 61.5%;   1.1 ms; 99.9%;  40.4 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  5.5%;   0.1 ms;  0.3%;   1.6 ms
C1E;  8.9%;   0.3 ms;  0.1%;   0.4 ms
C6; 76.0%;   1.7 ms; 99.7%;  28.8 ms
CPU;17;CPU;35
POLL;  0.8%;   0.0 ms;  0.0%;   0.0 ms
C1; 20.5%;   0.1 ms;  0.3%;   1.1 ms
C1E;  9.4%;   0.3 ms;  4.4%;   1.0 ms
C6; 35.1%;   0.5 ms; 95.4%;  60.4 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
