____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 17:01:00 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  4 wakeup/s;CPU:  451.9% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 34.3%;6657.9;Process;[PID 2624252] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  26.8 W  
 47.3%;5605.6;Process;[PID 2624253] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  22.9 W  
 29.1%;5260.0;Process;[PID 2624247] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  21.2 W  
 25.0%;5239.6;Process;[PID 2624249] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  21.1 W  
 28.3%;4964.5;Process;[PID 2624245] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  20.1 W  
 17.9%;3485.1;Process;[PID 2624251] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  14.0 W  
  1.4%;2870.9;Timer;tick_sched_timer;  11.4 W  
  1.0%;1184.8;Interrupt;[197] nvme2q14;  4.70 W  
  0.2%;728.1;Interrupt;[101] nvme2q4;  2.88 W  
 34.4%;566.0;Process;[PID 2624294] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  2.77 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.1%
C1;  6.8%
C1E;  5.7%
C6; 74.2%
;
;
;
;
;

;Core 0
POLL;  0.0%
C1; 10.2%
C1E;  7.6%
C6; 67.2%
;Core 1
POLL;  0.0%
C1;  5.6%
C1E;  6.4%
C6; 79.3%
;Core 2
POLL;  0.0%
C1;  4.6%
C1E;  3.0%
C6; 86.0%
;Core 3
POLL;  0.2%
C1;  3.1%
C1E;  1.5%
C6; 62.5%
;Core 4
POLL;  0.0%
C1;  4.4%
C1E;  7.6%
C6; 80.8%
;Core 8
POLL;  0.0%
C1;  4.4%
C1E;  5.2%
C6; 80.0%
;Core 9
POLL;  0.0%
C1;  4.4%
C1E;  6.7%
C6; 77.7%
;Core 10
POLL;  0.0%
C1;  1.8%
C1E;  5.0%
C6; 86.8%
;Core 11
POLL;  0.2%
C1;  9.9%
C1E;  4.0%
C6; 63.8%
;Core 16
POLL;  0.1%
C1;  8.8%
C1E;  7.3%
C6; 73.6%
;Core 17
POLL;  0.1%
C1;  8.4%
C1E;  6.1%
C6; 68.8%
;Core 18
POLL;  0.0%
C1;  6.5%
C1E;  5.2%
C6; 76.4%
;Core 19
POLL;  0.0%
C1;  6.8%
C1E;  6.5%
C6; 78.5%
;Core 20
POLL;  0.2%
C1; 13.7%
C1E;  8.8%
C6; 55.2%
;Core 24
POLL;  0.0%
C1;  4.9%
C1E;  3.8%
C6; 79.1%
;Core 25
POLL;  0.1%
C1;  7.3%
C1E;  7.3%
C6; 73.3%
;Core 26
POLL;  0.0%
C1;  7.0%
C1E;  5.7%
C6; 78.7%
;Core 27
POLL;  0.3%
C1;  9.8%
C1E;  3.6%
C6; 53.7%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 17.2%;   0.1 ms;  3.1%;   0.1 ms
C1E;  4.2%;   1.0 ms; 11.0%;   0.3 ms
C6; 55.3%;   2.1 ms; 79.0%;   2.6 ms
CPU;1;CPU;19
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 10.0%;   0.1 ms;  1.2%;   0.1 ms
C1E;  5.8%;   0.3 ms;  7.0%;   0.4 ms
C6; 70.4%;   2.0 ms; 88.1%;   3.5 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  8.5%;   0.1 ms;  0.8%;   1.3 ms
C1E;  3.7%;   0.3 ms;  2.2%;   0.2 ms
C6; 76.7%;   1.6 ms; 95.3%;   3.4 ms
CPU;3;CPU;21
POLL;  0.4%;   0.0 ms;  0.0%;   0.0 ms
C1;  5.5%;   0.1 ms;  0.8%;   0.1 ms
C1E;  1.8%;   0.1 ms;  1.2%;   0.4 ms
C6; 28.6%;   0.3 ms; 96.3%;   4.9 ms
CPU;4;CPU;22
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  8.8%;   0.1 ms;  0.0%;   0.0 ms
C1E;  5.2%;   0.5 ms; 10.1%;   0.3 ms
C6; 73.9%;   2.0 ms; 87.6%;   2.6 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  8.4%
   0.1 ms;  0.4%;   0.1 ms;C1E;  4.4%
   1.0 ms;  6.0%;   0.5 ms;C6; 68.2%
   3.4 ms; 91.6%;   2.4 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  4.9%
   0.1 ms;  3.9%;   0.1 ms;C1E;  8.3%
   0.3 ms;  5.0%;   0.5 ms;C6; 70.1%
   1.3 ms; 85.2%;   1.9 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  3.3%
   0.1 ms;  0.3%;   0.2 ms;C1E;  8.8%
   0.3 ms;  1.3%;   0.3 ms;C6; 76.2%
   1.5 ms; 97.2%;   4.6 ms;CPU
8;CPU;26;POLL;  0.3%
   0.0 ms;  0.0%;   0.0 ms;C1; 19.6%
   0.1 ms;  0.3%;   0.5 ms;C1E;  6.9%
   0.4 ms;  1.0%;   0.8 ms;C6; 29.2%
   0.7 ms; 98.3%;  11.3 ms;
CPU;9
CPU;27;POLL;  0.1%;   0.0 ms
  0.0%;   0.0 ms;C1; 17.6%;   0.1 ms
  0.0%;   0.0 ms;C1E; 13.9%;   0.3 ms
  0.7%;   0.3 ms;C6; 48.2%;   1.6 ms
 98.8%;  10.5 ms;CPU;10
CPU;28;POLL;  0.3%;   0.0 ms
  0.0%;   0.0 ms;C1; 16.8%;   0.1 ms
  0.0%;   0.0 ms;C1E;  9.1%;   0.3 ms
  3.1%;   0.2 ms;C6; 42.8%;   0.6 ms
 94.6%;   2.0 ms;CPU;11
CPU;29;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 12.9%;   0.1 ms
  0.0%;   0.0 ms;C1E; 10.2%;   0.4 ms
  0.2%;   0.2 ms;C6; 53.5%;   2.0 ms
 99.2%;   8.2 ms;CPU;12
CPU;30;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 13.5%;   0.1 ms
  0.0%;   0.0 ms;C1E;  7.6%;   0.3 ms
  5.4%;   0.5 ms;C6; 63.5%;   2.0 ms
 93.5%;   4.1 ms;CPU;13
CPU;31;POLL;  0.5%;   0.0 ms
  0.0%;   0.0 ms;C1; 26.3%;   0.1 ms
  1.2%;   1.3 ms;C1E; 17.2%;   0.2 ms
  0.4%;   0.2 ms;C6; 12.2%;   0.2 ms
 98.2%;  10.8 ms;
CPU;14;CPU;32
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  9.3%;   0.1 ms;  0.4%;   0.1 ms
C1E;  6.5%;   0.4 ms;  1.2%;   1.2 ms
C6; 60.3%;   3.0 ms; 97.7%;  17.4 ms
CPU;15;CPU;33
POLL;  0.2%;   0.0 ms;  0.0%;   0.0 ms
C1; 14.1%;   0.1 ms;  0.4%;   0.1 ms
C1E; 11.9%;   0.5 ms;  2.6%;   1.5 ms
C6; 50.8%;   1.1 ms; 95.6%;   8.8 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 13.9%;   0.1 ms;  0.0%;   0.0 ms
C1E; 10.7%;   0.4 ms;  0.8%;   0.2 ms
C6; 58.7%;   2.0 ms; 98.7%;   9.4 ms
CPU;17;CPU;35
POLL;  0.5%;   0.0 ms;  0.0%;   0.0 ms
C1; 16.3%;   0.1 ms;  3.3%;   0.1 ms
C1E;  4.0%;   0.3 ms;  3.2%;   1.7 ms
C6; 15.1%;   0.3 ms; 92.3%;  40.7 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
