____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 17:10:19 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  57709.4 wakeup/s;CPU:  337.9% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 35.2%;7456.1;Process;[PID 2624252] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  30.0 W  
 32.2%;6096.7;Process;[PID 2624247] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  24.6 W  
 30.7%;5426.4;Process;[PID 2624248] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  21.9 W  
 29.3%;5057.8;Process;[PID 2624245] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  20.4 W  
 24.4%;5059.6;Process;[PID 2624249] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  20.4 W  
 21.5%;4724.0;Process;[PID 2624253] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  19.0 W  
 26.7%;4403.5;Process;[PID 2624251] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  17.8 W  
  1.8%;2919.6;Timer;tick_sched_timer;  11.6 W  
  1.6%;1507.4;Interrupt;[124] nvme4q18;  5.98 W  
  1.2%;1441.4;Interrupt;[51] nvme1q6;  5.71 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.1%
C1;  9.7%
C1E;  7.1%
C6; 71.3%
;
;
;
;
;

;Core 0
POLL;  0.0%
C1; 13.0%
C1E;  6.6%
C6; 65.0%
;Core 1
POLL;  0.0%
C1;  4.0%
C1E;  5.0%
C6; 82.3%
;Core 2
POLL;  0.0%
C1;  7.9%
C1E;  7.5%
C6; 74.2%
;Core 3
POLL;  0.1%
C1; 11.4%
C1E; 14.4%
C6; 58.2%
;Core 4
POLL;  0.0%
C1; 11.3%
C1E;  5.1%
C6; 69.8%
;Core 8
POLL;  0.1%
C1; 16.7%
C1E; 10.8%
C6; 53.6%
;Core 9
POLL;  0.0%
C1;  3.8%
C1E;  5.9%
C6; 81.4%
;Core 10
POLL;  0.0%
C1;  5.5%
C1E;  4.6%
C6; 80.5%
;Core 11
POLL;  0.1%
C1; 11.6%
C1E;  1.9%
C6; 67.7%
;Core 16
POLL;  0.0%
C1;  5.0%
C1E;  8.1%
C6; 77.4%
;Core 17
POLL;  0.0%
C1;  7.0%
C1E;  5.1%
C6; 78.3%
;Core 18
POLL;  0.1%
C1; 12.7%
C1E;  7.1%
C6; 64.8%
;Core 19
POLL;  0.1%
C1;  5.1%
C1E;  6.9%
C6; 78.6%
;Core 20
POLL;  0.3%
C1; 12.7%
C1E; 12.0%
C6; 57.9%
;Core 24
POLL;  0.0%
C1; 10.6%
C1E;  3.9%
C6; 75.8%
;Core 25
POLL;  0.0%
C1;  9.3%
C1E; 13.8%
C6; 65.1%
;Core 26
POLL;  0.0%
C1;  6.6%
C1E;  4.0%
C6; 81.9%
;Core 27
POLL;  0.3%
C1; 18.7%
C1E;  3.1%
C6; 59.6%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 20.4%;   0.1 ms;  5.7%;   0.1 ms
C1E;  2.8%;   0.5 ms; 10.3%;   0.4 ms
C6; 53.2%;   1.6 ms; 76.7%;   3.4 ms
CPU;1;CPU;19
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  6.2%;   0.1 ms;  1.8%;   0.1 ms
C1E;  6.6%;   0.4 ms;  3.4%;   0.3 ms
C6; 75.1%;   1.8 ms; 89.4%;   2.6 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 14.4%;   0.1 ms;  1.4%;   0.2 ms
C1E;  5.4%;   0.7 ms;  9.7%;   0.4 ms
C6; 62.2%;   2.2 ms; 86.2%;   3.0 ms
CPU;3;CPU;21
POLL;  0.3%;   0.0 ms;  0.0%;   0.0 ms
C1; 18.0%;   0.1 ms;  4.7%;   0.1 ms
C1E;  8.2%;   0.4 ms; 20.5%;   0.5 ms
C6; 46.9%;   1.6 ms; 69.4%;   5.8 ms
CPU;4;CPU;22
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 19.2%;   0.1 ms;  3.3%;   0.1 ms
C1E;  6.9%;   0.4 ms;  3.3%;   0.8 ms
C6; 52.2%;   2.2 ms; 87.3%;   3.5 ms
CPU
5;CPU;23;POLL;  0.2%
   0.0 ms;  0.0%;   0.0 ms;C1; 31.7%
   0.1 ms;  1.7%;   0.1 ms;C1E;  8.9%
   0.4 ms; 12.6%;   0.5 ms;C6; 24.5%
   0.7 ms; 82.6%;   5.5 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  6.6%
   0.1 ms;  1.0%;   0.1 ms;C1E;  9.0%
   0.3 ms;  2.8%;   0.5 ms;C6; 68.8%
   1.3 ms; 94.0%;   5.0 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  9.5%
   0.1 ms;  1.5%;   0.1 ms;C1E;  7.2%
   0.3 ms;  2.0%;   1.3 ms;C6; 66.9%
   1.3 ms; 94.1%;   8.4 ms;CPU
8;CPU;26;POLL;  0.2%
   0.0 ms;  0.0%;   0.0 ms;C1; 23.3%
   0.1 ms;  0.0%;   0.0 ms;C1E;  3.8%
   0.2 ms;  0.0%;   0.2 ms;C6; 35.5%
   1.0 ms; 99.7%;  11.0 ms;
CPU;9
CPU;27;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  9.8%;   0.1 ms
  0.2%;   1.0 ms;C1E; 15.9%;   0.4 ms
  0.4%;   0.2 ms;C6; 55.6%;   1.5 ms
 99.0%;  14.1 ms;CPU;10
CPU;28;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 13.7%;   0.1 ms
  0.2%;   1.1 ms;C1E; 10.2%;   0.3 ms
  0.0%;   0.0 ms;C6; 56.7%;   1.6 ms
 99.8%;  15.8 ms;CPU;11
CPU;29;POLL;  0.2%;   0.0 ms
  0.0%;   0.0 ms;C1; 16.2%;   0.1 ms
  9.2%;   0.1 ms;C1E;  7.1%;   0.2 ms
  7.2%;   1.2 ms;C6; 55.7%;   2.0 ms
 73.8%;  12.7 ms;CPU;12
CPU;30;POLL;  0.2%;   0.0 ms
  0.0%;   0.0 ms;C1;  9.9%;   0.1 ms
  0.3%;   1.4 ms;C1E; 13.7%;   0.4 ms
  0.0%;   0.0 ms;C6; 59.4%;   1.9 ms
 97.6%;  36.6 ms;CPU;13
CPU;31;POLL;  0.6%;   0.0 ms
  0.0%;   0.0 ms;C1; 25.1%;   0.1 ms
  0.3%;   0.7 ms;C1E;  5.6%;   0.1 ms
 18.4%;   0.4 ms;C6; 35.9%;   0.4 ms
 79.9%;   9.9 ms;
CPU;14;CPU;32
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 21.1%;   0.1 ms;  0.0%;   0.0 ms
C1E;  7.8%;   0.5 ms;  0.1%;   0.3 ms
C6; 51.4%;   1.1 ms;100.2%;  44.2 ms
CPU;15;CPU;33
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 18.3%;   0.1 ms;  0.4%;   0.5 ms
C1E;  6.4%;   0.4 ms; 21.2%;   0.4 ms
C6; 52.9%;   2.3 ms; 77.2%;   8.4 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 12.8%;   0.1 ms;  0.4%;   1.8 ms
C1E;  7.9%;   0.4 ms;  0.0%;   0.1 ms
C6; 64.1%;   2.2 ms; 99.6%;  23.5 ms
CPU;17;CPU;35
POLL;  0.5%;   0.0 ms;  0.0%;   0.0 ms
C1; 37.4%;   0.1 ms;  0.0%;   0.0 ms
C1E;  6.1%;   0.1 ms;  0.1%;   0.2 ms
C6; 19.2%;   0.6 ms; 99.8%;   7.9 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
