____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 13:44:31 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  30132.6 wakeup/s;CPU:  199.9% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 32.7%;6204.4;Process;[PID 2565945] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  25.0 W  
 29.5%;6045.0;Process;[PID 2565943] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  24.3 W  
 36.4%;3785.8;Process;[PID 2565947] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  15.5 W  
 13.6%;2467.0;Process;[PID 2565946] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  9.96 W  
  1.3%;2481.9;Timer;tick_sched_timer;  9.82 W  
  2.3%;2461.4;Interrupt;[107] nvme3q14;  9.76 W  
  0.8%;829.5;Interrupt;[88] nvme3q4;  3.29 W  
 19.8%;691.5;Process;[PID 2565981] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  3.04 W  
  1.1%;727.0;Interrupt;[132] nvme3q18;  2.89 W  
  1.0%;512.6;Interrupt;[50] nvme1q4;  2.04 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.0%
C1;  4.9%
C1E;  3.8%
C6; 84.9%
;
;
;
;
;

;Core 0
POLL;  0.0%
C1;  5.3%
C1E;  9.3%
C6; 77.0%
;Core 1
POLL;  0.0%
C1;  1.6%
C1E;  2.8%
C6; 90.6%
;Core 2
POLL;  0.0%
C1;  2.3%
C1E;  4.2%
C6; 89.0%
;Core 3
POLL;  0.1%
C1; 12.6%
C1E;  4.3%
C6; 65.0%
;Core 4
POLL;  0.0%
C1;  1.1%
C1E;  1.2%
C6; 92.6%
;Core 8
POLL;  0.0%
C1;  6.0%
C1E;  6.3%
C6; 79.3%
;Core 9
POLL;  0.0%
C1;  2.0%
C1E; 10.2%
C6; 83.9%
;Core 10
POLL;  0.0%
C1;  0.5%
C1E;  5.2%
C6; 92.7%
;Core 11
POLL;  0.0%
C1;  6.8%
C1E;  5.7%
C6; 75.2%
;Core 16
POLL;  0.0%
C1;  4.4%
C1E;  4.8%
C6; 85.2%
;Core 17
POLL;  0.0%
C1;  0.7%
C1E;  1.6%
C6; 89.6%
;Core 18
POLL;  0.0%
C1;  0.2%
C1E;  0.5%
C6; 96.9%
;Core 19
POLL;  0.0%
C1;  0.2%
C1E;  0.7%
C6; 98.3%
;Core 20
POLL;  0.1%
C1; 22.6%
C1E;  0.6%
C6; 56.0%
;Core 24
POLL;  0.0%
C1;  3.7%
C1E;  2.9%
C6; 88.9%
;Core 25
POLL;  0.0%
C1;  5.0%
C1E;  1.4%
C6; 88.2%
;Core 26
POLL;  0.0%
C1;  0.9%
C1E;  0.5%
C6; 95.6%
;Core 27
POLL;  0.0%
C1; 10.5%
C1E;  5.8%
C6; 68.5%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  6.9%;   0.1 ms;  3.6%;   0.1 ms
C1E;  1.9%;   0.4 ms; 16.6%;   1.3 ms
C6; 79.4%;   2.7 ms; 74.6%;   9.7 ms
CPU;1;CPU;19
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  2.6%;   0.1 ms;  0.6%;   0.1 ms
C1E;  3.7%;   0.2 ms;  1.9%;   1.1 ms
C6; 85.2%;   2.3 ms; 96.0%;   5.7 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  4.7%;   0.1 ms;  0.0%;   0.0 ms
C1E;  1.4%;   0.2 ms;  6.9%;   0.3 ms
C6; 86.8%;   2.0 ms; 91.0%;   3.2 ms
CPU;3;CPU;21
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 25.0%;   0.1 ms;  0.1%;   0.1 ms
C1E;  6.0%;   0.4 ms;  2.6%;   0.4 ms
C6; 34.2%;   0.8 ms; 95.7%;   2.7 ms
CPU;4;CPU;22
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  1.9%;   0.1 ms;  0.4%;   0.3 ms
C1E;  0.6%;   0.2 ms;  1.8%;   0.3 ms
C6; 89.6%;   4.1 ms; 95.4%;   2.3 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1; 11.8%
   0.1 ms;  0.2%;   0.9 ms;C1E; 12.1%
   0.4 ms;  0.4%;   0.2 ms;C6; 60.1%
   1.9 ms; 98.4%;   3.7 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  3.7%
   0.1 ms;  0.2%;   1.0 ms;C1E;  6.5%
   0.3 ms; 13.9%;   1.3 ms;C6; 81.9%
   1.5 ms; 85.8%;  17.4 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  0.8%
   0.1 ms;  0.2%;   1.1 ms;C1E;  1.8%
   0.3 ms;  8.7%;   1.7 ms;C6; 94.0%
   2.6 ms; 91.2%;  33.0 ms;CPU
8;CPU;26;POLL;  0.1%
   0.0 ms;  0.0%;   0.0 ms;C1; 13.4%
   0.1 ms;  0.2%;   0.8 ms;C1E;  4.8%
   0.6 ms;  6.5%;   1.5 ms;C6; 57.0%
   2.3 ms; 93.3%;  59.1 ms;
CPU;9
CPU;27;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  8.4%;   0.1 ms
  0.3%;   1.4 ms;C1E;  9.4%;   0.5 ms
  0.1%;   0.2 ms;C6; 71.0%;   3.5 ms
 99.2%;  18.6 ms;CPU;10
CPU;28;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  1.1%;   0.1 ms
  0.3%;   1.5 ms;C1E;  3.3%;   0.3 ms
  0.0%;   0.0 ms;C6; 79.1%;   1.2 ms
 99.9%;  16.3 ms;CPU;11
CPU;29;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  0.1%;   0.1 ms
  0.3%;   1.6 ms;C1E;  0.9%;   0.2 ms
  0.0%;   0.0 ms;C6; 93.8%;   2.9 ms
 99.9%;  32.7 ms;CPU;12
CPU;30;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  0.0%;   0.0 ms
  0.4%;   1.8 ms;C1E;  1.4%;   0.3 ms
  0.0%;   0.0 ms;C6; 96.4%;   2.7 ms
 99.9%;  59.6 ms;CPU;13
CPU;31;POLL;  0.1%;   0.0 ms
  0.0%;   0.0 ms;C1; 44.7%;   0.1 ms
  0.4%;   1.9 ms;C1E;  1.3%;   0.1 ms
  0.0%;   0.0 ms;C6; 12.0%;   0.4 ms
100.0%; 144.8 ms;
CPU;14;CPU;32
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  7.1%;   0.1 ms;  0.4%;   2.0 ms
C1E;  5.8%;   1.1 ms;  0.0%;   0.0 ms
C6; 77.8%;   3.0 ms;100.0%;  92.2 ms
CPU;15;CPU;33
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 10.0%;   0.1 ms;  0.0%;   0.0 ms
C1E;  2.8%;   0.5 ms;  0.0%;   0.0 ms
C6; 76.3%;   1.9 ms;100.0%;  72.5 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  1.7%;   0.1 ms;  0.1%;   0.3 ms
C1E;  1.1%;   0.6 ms;  0.0%;   0.0 ms
C6; 91.2%;   5.0 ms; 99.9%; 101.4 ms
CPU;17;CPU;35
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 21.0%;   0.1 ms;  0.1%;   0.4 ms
C1E;  8.0%;   0.7 ms;  3.7%;   0.5 ms
C6; 41.4%;   2.9 ms; 95.6%;  10.8 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

;Core 0
Idle; 100.0% 
;Core 1
Idle; 100.0% 
;Core 2
Idle; 100.0% 
;Core 3
