____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 13:52:15 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  35318.4 wakeup/s;CPU:  208.0% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 32.4%;6329.4;Process;[PID 2565946] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  25.5 W  
 30.4%;5638.0;Process;[PID 2565947] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  22.7 W  
 21.8%;4723.0;Process;[PID 2565945] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  19.0 W  
 18.4%;3905.2;Process;[PID 2565943] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  15.7 W  
  1.6%;2979.8;Timer;tick_sched_timer;  11.8 W  
  1.9%;1970.5;Interrupt;[107] nvme3q14;  7.81 W  
  2.1%;1657.3;Interrupt;[108] nvme3q15;  6.58 W  
  1.5%;1145.1;Interrupt;[132] nvme3q18;  4.55 W  
  1.6%;1105.5;Interrupt;[88] nvme3q4;  4.39 W  
 18.4%;621.6;Process;[PID 2565981] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  2.74 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.0%
C1;  5.4%
C1E;  5.1%
C6; 82.2%
;
;
;
;
;

;Core 0
POLL;  0.0%
C1;  8.3%
C1E;  8.1%
C6; 69.8%
;Core 1
POLL;  0.0%
C1;  2.4%
C1E;  4.7%
C6; 82.5%
;Core 2
POLL;  0.0%
C1;  6.4%
C1E;  3.3%
C6; 81.0%
;Core 3
POLL;  0.0%
C1; 11.7%
C1E;  5.5%
C6; 68.2%
;Core 4
POLL;  0.0%
C1;  9.1%
C1E;  6.9%
C6; 73.7%
;Core 8
POLL;  0.0%
C1;  2.4%
C1E;  1.8%
C6; 91.5%
;Core 9
POLL;  0.0%
C1;  0.9%
C1E;  3.6%
C6; 91.7%
;Core 10
POLL;  0.0%
C1;  0.7%
C1E;  4.6%
C6; 91.0%
;Core 11
POLL;  0.0%
C1;  5.7%
C1E;  2.4%
C6; 82.5%
;Core 16
POLL;  0.0%
C1;  0.7%
C1E; 13.2%
C6; 82.6%
;Core 17
POLL;  0.0%
C1;  0.8%
C1E;  3.7%
C6; 92.7%
;Core 18
POLL;  0.0%
C1;  0.9%
C1E;  2.7%
C6; 93.4%
;Core 19
POLL;  0.0%
C1;  0.8%
C1E;  2.7%
C6; 94.2%
;Core 20
POLL;  0.0%
C1; 16.9%
C1E;  5.1%
C6; 61.9%
;Core 24
POLL;  0.0%
C1; 14.9%
C1E;  4.4%
C6; 63.7%
;Core 25
POLL;  0.0%
C1;  2.8%
C1E;  5.0%
C6; 88.2%
;Core 26
POLL;  0.0%
C1;  0.1%
C1E;  8.4%
C6; 89.1%
;Core 27
POLL;  0.2%
C1; 11.0%
C1E;  4.0%
C6; 67.3%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  9.9%;   0.1 ms;  6.8%;   0.1 ms
C1E;  5.9%;   0.5 ms; 10.4%;   0.6 ms
C6; 66.6%;   1.8 ms; 72.9%;   3.9 ms
CPU;1;CPU;19
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  3.7%;   0.1 ms;  1.1%;   0.1 ms
C1E;  5.2%;   0.8 ms;  4.3%;   0.3 ms
C6; 79.1%;   2.1 ms; 85.9%;   2.0 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  4.2%;   0.1 ms;  8.6%;   0.1 ms
C1E;  1.4%;   0.3 ms;  5.2%;   0.3 ms
C6; 88.2%;   2.8 ms; 73.7%;   2.1 ms
CPU;3;CPU;21
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 23.5%;   0.1 ms;  0.0%;   0.0 ms
C1E;  8.1%;   0.5 ms;  2.8%;   0.2 ms
C6; 43.6%;   1.4 ms; 92.7%;   3.4 ms
CPU;4;CPU;22
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  8.8%;   0.1 ms;  9.3%;   0.1 ms
C1E;  5.9%;   0.8 ms;  7.9%;   0.4 ms
C6; 75.5%;   4.8 ms; 71.8%;   1.9 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  4.7%
   0.1 ms;  0.0%;   0.0 ms;C1E;  2.3%
   0.2 ms;  1.3%;   0.2 ms;C6; 85.2%
   1.9 ms; 97.6%;   4.8 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  1.3%
   0.1 ms;  0.6%;   0.1 ms;C1E;  2.9%
   0.5 ms;  4.2%;   0.4 ms;C6; 91.0%
   3.9 ms; 92.3%;   3.7 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  1.3%
   0.1 ms;  0.1%;   0.1 ms;C1E;  4.5%
   0.4 ms;  4.7%;   0.5 ms;C6; 89.2%
   1.9 ms; 92.6%;   3.9 ms;CPU
8;CPU;26;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1; 11.3%
   0.1 ms;  0.0%;   0.0 ms;C1E;  3.3%
   0.6 ms;  1.6%;   0.2 ms;C6; 68.4%
   4.1 ms; 96.6%;   3.3 ms;
CPU;9
CPU;27;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  1.2%;   0.1 ms
  0.1%;   0.1 ms;C1E;  5.2%;   0.4 ms
 21.2%;   0.3 ms;C6; 88.8%;   3.9 ms
 76.3%;   6.5 ms;CPU;10
CPU;28;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  1.7%;   0.1 ms
  0.0%;   0.1 ms;C1E;  4.3%;   0.4 ms
  3.2%;   1.1 ms;C6; 89.1%;   2.5 ms
 96.2%;  11.6 ms;CPU;11
CPU;29;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  1.8%;   0.2 ms
  0.1%;   0.1 ms;C1E;  4.2%;   0.3 ms
  1.2%;   0.3 ms;C6; 89.6%;   2.3 ms
 97.2%;   3.9 ms;CPU;12
CPU;30;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  1.4%;   0.6 ms
  0.2%;   0.8 ms;C1E;  3.2%;   0.4 ms
  2.1%;   0.4 ms;C6; 91.4%;   3.7 ms
 96.9%;  10.0 ms;CPU;13
CPU;31;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 28.9%;   0.1 ms
  5.0%;   0.1 ms;C1E;  6.0%;   0.4 ms
  4.3%;   0.2 ms;C6; 37.6%;   2.4 ms
 86.0%;  14.3 ms;
CPU;14;CPU;32
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 29.2%;   0.1 ms;  0.6%;   1.0 ms
C1E;  5.9%;   0.8 ms;  3.0%;   1.1 ms
C6; 31.8%;   1.4 ms; 95.6%;  10.2 ms
CPU;15;CPU;33
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  3.5%;   0.1 ms;  2.0%;   0.1 ms
C1E;  5.1%;   1.0 ms;  5.0%;   0.5 ms
C6; 85.9%;   3.7 ms; 90.3%;   5.7 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  0.0%;   0.1 ms;  0.2%;   0.5 ms
C1E;  4.8%;   0.4 ms; 12.1%;   0.4 ms
C6; 91.0%;   3.5 ms; 87.1%;  15.5 ms
CPU;17;CPU;35
POLL;  0.3%;   0.0 ms;  0.0%;   0.0 ms
C1; 21.2%;   0.1 ms;  0.7%;   0.1 ms
C1E;  4.0%;   0.2 ms;  3.9%;   1.3 ms
C6; 40.2%;   0.9 ms; 94.3%;   9.2 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

;Core 0
Idle; 100.0% 
;Core 1
Idle; 100.0% 
;Core 2
Idle; 100.0% 
