____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 13:41:53 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  29038.8 wakeup/s;CPU:  206.4% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 29.8%;5982.1;Process;[PID 2565943] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  24.1 W  
 25.0%;5300.3;Process;[PID 2565945] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  21.3 W  
 21.9%;4246.9;Process;[PID 2565946] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  17.1 W  
  1.1%;2355.6;Timer;tick_sched_timer;  9.32 W  
 46.4%;1686.1;Process;[PID 2565947] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  7.38 W  
  0.6%;1160.3;Interrupt;[106] nvme1q14;  4.59 W  
  1.5%;988.2;Interrupt;[81] nvme1q9;  3.93 W  
  1.1%;976.8;Interrupt;[175] nvme1q18;  3.88 W  
 17.5%;718.7;Process;[PID 2565981] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  3.11 W  
  1.2%;740.4;Interrupt;[120] nvme4q14;  2.94 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.0%
C1;  4.0%
C1E;  3.4%
C6; 86.3%
;
;
;
;
;

;Core 0
POLL;  0.0%
C1;  0.7%
C1E;  2.7%
C6; 92.7%
;Core 1
POLL;  0.0%
C1;  7.3%
C1E;  3.6%
C6; 80.3%
;Core 2
POLL;  0.0%
C1;  5.6%
C1E;  3.2%
C6; 84.3%
;Core 3
POLL;  0.0%
C1;  0.7%
C1E;  6.9%
C6; 81.2%
;Core 4
POLL;  0.0%
C1;  0.2%
C1E;  3.3%
C6; 95.0%
;Core 8
POLL;  0.0%
C1;  0.0%
C1E;  0.6%
C6; 97.3%
;Core 9
POLL;  0.0%
C1;  0.0%
C1E;  3.2%
C6; 94.6%
;Core 10
POLL;  0.0%
C1;  0.0%
C1E;  1.0%
C6; 97.1%
;Core 11
POLL;  0.0%
C1; 11.5%
C1E;  2.3%
C6; 66.6%
;Core 16
POLL;  0.0%
C1;  7.4%
C1E;  6.0%
C6; 75.4%
;Core 17
POLL;  0.0%
C1;  5.6%
C1E;  1.7%
C6; 86.5%
;Core 18
POLL;  0.0%
C1;  2.8%
C1E;  1.8%
C6; 92.1%
;Core 19
POLL;  0.0%
C1;  0.1%
C1E;  1.8%
C6; 96.8%
;Core 20
POLL;  0.1%
C1; 14.0%
C1E;  2.4%
C6; 65.4%
;Core 24
POLL;  0.0%
C1;  3.9%
C1E;  3.5%
C6; 83.1%
;Core 25
POLL;  0.0%
C1;  1.6%
C1E;  8.8%
C6; 85.6%
;Core 26
POLL;  0.0%
C1;  0.2%
C1E;  3.0%
C6; 95.1%
;Core 27
POLL;  0.1%
C1;  9.4%
C1E;  4.3%
C6; 68.5%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  1.2%;   0.1 ms;  0.2%;   0.1 ms
C1E;  3.1%;   0.4 ms;  2.3%;   0.3 ms
C6; 90.0%;   1.9 ms; 95.3%;   2.7 ms
CPU;1;CPU;19
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 13.8%;   0.1 ms;  0.8%;   1.1 ms
C1E;  6.7%;   0.5 ms;  0.6%;   0.3 ms
C6; 63.2%;   1.4 ms; 97.3%;   4.1 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 10.3%;   0.1 ms;  0.9%;   1.5 ms
C1E;  5.5%;   0.6 ms;  0.9%;   0.8 ms
C6; 71.3%;   1.9 ms; 97.1%;   4.8 ms
CPU;3;CPU;21
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1;  1.4%;   0.1 ms;  0.1%;   0.1 ms
C1E;  0.7%;   0.3 ms; 13.1%;   0.3 ms
C6; 78.0%;   3.4 ms; 84.3%;   2.1 ms
CPU;4;CPU;22
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  0.0%;   0.0 ms;  0.4%;   0.5 ms
C1E;  0.2%;   0.1 ms;  6.4%;   0.3 ms
C6; 98.1%;   4.4 ms; 91.8%;   4.2 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  0.0%
   0.0 ms;  0.0%;   0.2 ms;C1E;  1.2%
   0.2 ms;  0.0%;   0.0 ms;C6; 94.6%
   3.1 ms; 99.9%;  56.1 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  0.0%
   0.0 ms;  0.1%;   0.3 ms;C1E;  6.4%
   0.3 ms;  0.0%;   0.1 ms;C6; 89.5%
   2.9 ms; 99.6%;  19.0 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  0.0%
   0.0 ms;  0.1%;   0.4 ms;C1E;  2.0%
   0.2 ms;  0.0%;   0.0 ms;C6; 94.1%
   1.8 ms; 99.9%;  38.9 ms;CPU
8;CPU;26;POLL;  0.1%
   0.0 ms;  0.0%;   0.0 ms;C1; 23.0%
   0.1 ms;  0.0%;   0.0 ms;C1E;  4.6%
   0.4 ms;  0.0%;   0.1 ms;C6; 33.7%
   1.3 ms; 99.4%;   4.6 ms;
CPU;9
CPU;27;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 14.7%;   0.1 ms
  0.1%;   0.5 ms;C1E; 12.0%;   0.4 ms
  0.0%;   0.0 ms;C6; 50.7%;   1.6 ms
 99.9%;  67.5 ms;CPU;10
CPU;28;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 11.2%;   0.1 ms
  0.0%;   0.0 ms;C1E;  3.5%;   0.4 ms
  0.0%;   0.0 ms;C6; 72.6%;   3.7 ms
100.3%;  84.7 ms;CPU;11
CPU;29;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  5.5%;   0.1 ms
  0.2%;   1.0 ms;C1E;  3.6%;   0.4 ms
  0.0%;   0.0 ms;C6; 84.2%;   3.0 ms
 99.9%;  63.3 ms;CPU;12
CPU;30;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  0.1%;   0.0 ms
  0.2%;   1.1 ms;C1E;  3.5%;   0.3 ms
  0.0%;   0.0 ms;C6; 93.7%;   2.1 ms
 99.7%;  14.9 ms;CPU;13
CPU;31;POLL;  0.1%;   0.0 ms
  0.0%;   0.0 ms;C1; 27.7%;   0.1 ms
  0.2%;   1.3 ms;C1E;  4.9%;   0.3 ms
  0.0%;   0.0 ms;C6; 30.9%;   0.9 ms
 99.9%;  84.4 ms;
CPU;14;CPU;32
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  7.8%;   0.1 ms;  0.0%;   0.0 ms
C1E;  6.9%;   0.8 ms;  0.0%;   0.0 ms
C6; 65.8%;   1.3 ms;100.4%;  28.3 ms
CPU;15;CPU;33
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  2.8%;   0.1 ms;  0.3%;   1.5 ms
C1E;  5.3%;   0.4 ms; 12.3%;   1.1 ms
C6; 83.7%;   2.2 ms; 87.4%;  21.6 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  0.4%;   0.1 ms;  0.0%;   0.0 ms
C1E;  6.0%;   0.3 ms;  0.0%;   0.0 ms
C6; 89.6%;   1.9 ms;100.4%;  36.4 ms
CPU;17;CPU;35
POLL;  0.3%;   0.0 ms;  0.0%;   0.0 ms
C1; 18.5%;   0.1 ms;  0.4%;   1.8 ms
C1E;  8.6%;   0.3 ms;  0.0%;   0.1 ms
C6; 37.0%;   0.8 ms; 99.9%;  40.5 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

;Core 0
Idle; 100.0% 
;Core 1
Idle; 100.0% 
;Core 2
Idle; 100.0% 
;Core 3
