____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 13:50:33 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  33371.3 wakeup/s;CPU:  192.4% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 30.3%;6234.1;Process;[PID 2565945] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  25.1 W  
 23.9%;4743.9;Process;[PID 2565946] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  19.1 W  
 22.3%;4562.6;Process;[PID 2565947] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  18.4 W  
 18.9%;4121.3;Process;[PID 2565943] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  16.6 W  
  1.5%;2645.2;Timer;tick_sched_timer;  10.5 W  
  1.3%;1666.7;Interrupt;[175] nvme1q18;  6.60 W  
  1.2%;877.0;Interrupt;[102] nvme1q13;  3.48 W  
 15.6%;730.5;Process;[PID 2565981] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  3.13 W  
  1.2%;614.1;Interrupt;[120] nvme4q14;  2.44 W  
  1.2%;566.2;Interrupt;[115] nvme4q9;  2.26 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.0%
C1;  5.4%
C1E;  4.4%
C6; 83.7%
;
;
;
;
;

;Core 0
POLL;  0.0%
C1;  1.5%
C1E;  2.1%
C6; 89.4%
;Core 1
POLL;  0.0%
C1;  1.6%
C1E;  2.0%
C6; 93.4%
;Core 2
POLL;  0.0%
C1;  2.4%
C1E;  7.4%
C6; 85.4%
;Core 3
POLL;  0.0%
C1;  8.4%
C1E;  5.3%
C6; 77.0%
;Core 4
POLL;  0.0%
C1;  8.8%
C1E;  4.2%
C6; 76.5%
;Core 8
POLL;  0.0%
C1;  1.9%
C1E;  4.6%
C6; 89.0%
;Core 9
POLL;  0.0%
C1;  2.9%
C1E; 10.1%
C6; 82.6%
;Core 10
POLL;  0.0%
C1;  0.5%
C1E;  7.9%
C6; 89.5%
;Core 11
POLL;  0.0%
C1; 10.1%
C1E;  4.4%
C6; 74.9%
;Core 16
POLL;  0.0%
C1;  0.2%
C1E;  2.3%
C6; 88.9%
;Core 17
POLL;  0.0%
C1;  4.0%
C1E;  4.7%
C6; 84.8%
;Core 18
POLL;  0.0%
C1;  0.5%
C1E;  4.4%
C6; 92.3%
;Core 19
POLL;  0.1%
C1; 10.3%
C1E;  3.1%
C6; 75.6%
;Core 20
POLL;  0.0%
C1; 11.3%
C1E;  4.4%
C6; 73.3%
;Core 24
POLL;  0.0%
C1;  2.5%
C1E;  3.4%
C6; 89.7%
;Core 25
POLL;  0.0%
C1;  6.9%
C1E;  2.2%
C6; 82.1%
;Core 26
POLL;  0.0%
C1;  1.2%
C1E;  3.3%
C6; 89.2%
;Core 27
POLL;  0.0%
C1; 21.0%
C1E;  2.5%
C6; 58.6%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  1.9%;   0.1 ms;  1.0%;   0.1 ms
C1E;  2.2%;   0.2 ms;  1.9%;   0.8 ms
C6; 82.6%;   1.5 ms; 96.0%;   9.5 ms
CPU;1;CPU;19
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  2.9%;   0.1 ms;  0.4%;   0.1 ms
C1E;  3.3%;   0.4 ms;  0.8%;   0.3 ms
C6; 89.1%;   2.3 ms; 97.7%;   4.5 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  4.5%;   0.1 ms;  0.3%;   0.4 ms
C1E;  3.5%;   1.0 ms; 11.2%;   1.3 ms
C6; 82.8%;   3.6 ms; 87.9%;  14.5 ms
CPU;3;CPU;21
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 16.5%;   0.1 ms;  0.2%;   0.8 ms
C1E;  8.9%;   0.3 ms;  1.7%;   0.4 ms
C6; 55.9%;   2.0 ms; 97.9%;  22.5 ms
CPU;4;CPU;22
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 17.6%;   0.1 ms;  0.0%;   0.0 ms
C1E;  8.0%;   0.7 ms;  0.4%;   0.1 ms
C6; 55.6%;   3.4 ms; 97.4%;   3.3 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  3.5%
   0.1 ms;  0.3%;   0.6 ms;C1E;  4.8%
   0.3 ms;  4.5%;   0.2 ms;C6; 84.5%
   1.5 ms; 93.4%;   2.6 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  5.4%
   0.1 ms;  0.3%;   0.6 ms;C1E;  9.4%
   0.5 ms; 10.8%;   0.4 ms;C6; 77.4%
   2.7 ms; 87.7%;   6.5 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  0.0%
   0.0 ms;  1.1%;   1.5 ms;C1E;  6.6%
   0.2 ms;  9.1%;   0.9 ms;C6; 89.6%
   2.1 ms; 89.2%;   8.4 ms;CPU
8;CPU;26;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1; 20.2%
   0.1 ms;  0.0%;   0.1 ms;C1E;  8.9%
   0.4 ms;  0.0%;   0.0 ms;C6; 49.8%
   1.3 ms; 99.9%; 144.4 ms;
CPU;9
CPU;27;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  0.3%;   0.1 ms
  0.0%;   0.0 ms;C1E;  4.6%;   0.5 ms
  0.0%;   0.1 ms;C6; 78.2%;   5.3 ms
 99.5%;  22.4 ms;CPU;10
CPU;28;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  8.0%;   0.1 ms
  0.0%;   0.0 ms;C1E;  5.4%;   0.5 ms
  4.1%;   0.5 ms;C6; 74.2%;   2.6 ms
 95.3%;  10.8 ms;CPU;11
CPU;29;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  1.0%;   0.2 ms
  0.0%;   0.0 ms;C1E;  8.7%;   0.3 ms
  0.1%;   0.1 ms;C6; 85.1%;   1.6 ms
 99.5%;   8.2 ms;CPU;12
CPU;30;POLL;  0.2%;   0.0 ms
  0.0%;   0.0 ms;C1; 17.9%;   0.1 ms
  2.7%;   3.0 ms;C1E;  5.6%;   0.2 ms
  0.5%;   0.6 ms;C6; 54.4%;   1.1 ms
 96.7%;  19.2 ms;CPU;13
CPU;31;POLL;  0.1%;   0.0 ms
  0.0%;   0.0 ms;C1; 22.5%;   0.1 ms
  0.2%;   0.8 ms;C1E;  8.8%;   0.4 ms
  0.0%;   0.0 ms;C6; 46.6%;   1.7 ms
 99.9%;  67.5 ms;
CPU;14;CPU;32
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  4.7%;   0.1 ms;  0.2%;   0.6 ms
C1E;  6.8%;   0.9 ms;  0.0%;   0.0 ms
C6; 79.4%;   4.7 ms; 99.9%;  48.2 ms
CPU;15;CPU;33
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 13.7%;   0.1 ms;  0.2%;   1.0 ms
C1E;  4.3%;   0.5 ms;  0.0%;   0.0 ms
C6; 64.3%;   2.4 ms; 99.8%;  27.3 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  2.2%;   0.1 ms;  0.2%;   1.1 ms
C1E;  6.5%;   0.3 ms;  0.0%;   0.0 ms
C6; 78.6%;   1.4 ms; 99.7%;  24.1 ms
CPU;17;CPU;35
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 41.8%;   0.1 ms;  0.2%;   1.2 ms
C1E;  5.0%;   0.3 ms;  0.0%;   0.0 ms
C6; 17.1%;   0.7 ms; 99.9%; 169.0 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

;Core 0
Idle; 100.0% 
;Core 1
Idle; 100.0% 
;Core 2
Idle; 100.0% 
