____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 13:53:40 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  29043.1 wakeup/s;CPU:  261.2% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 36.2%;6824.5;Process;[PID 2565946] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  27.5 W  
 28.9%;5779.6;Process;[PID 2565945] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  23.3 W  
 17.3%;4385.2;Process;[PID 2565947] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  17.6 W  
  1.1%;2576.7;Timer;tick_sched_timer;  10.2 W  
  1.1%;1059.1;Interrupt;[107] nvme3q14;  4.20 W  
 15.2%;756.9;Process;[PID 2565981] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  3.23 W  
  0.7%;737.0;Interrupt;[106] nvme1q14;  2.92 W  
  0.7%;700.1;Interrupt;[90] nvme3q6;  2.78 W  
 75.3%;333.5;Process;[PID 2565943] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  2.49 W  
  0.3%;477.5;Interrupt;[132] nvme3q18;  1.89 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.0%
C1;  3.9%
C1E;  3.9%
C6; 84.4%
;
;
;
;
;

;Core 0
POLL;  0.0%
C1;  5.3%
C1E;  3.8%
C6; 78.6%
;Core 1
POLL;  0.0%
C1;  1.5%
C1E;  1.3%
C6; 93.8%
;Core 2
POLL;  0.0%
C1;  0.1%
C1E;  3.6%
C6; 94.8%
;Core 3
POLL;  0.1%
C1;  6.3%
C1E;  4.3%
C6; 76.3%
;Core 4
POLL;  0.0%
C1;  4.6%
C1E;  6.0%
C6; 83.1%
;Core 8
POLL;  0.0%
C1; 11.8%
C1E;  8.2%
C6; 65.0%
;Core 9
POLL;  0.0%
C1;  1.3%
C1E;  0.5%
C6; 95.2%
;Core 10
POLL;  0.0%
C1;  0.3%
C1E;  1.0%
C6; 95.4%
;Core 11
POLL;  0.0%
C1;  2.8%
C1E;  2.3%
C6; 82.6%
;Core 16
POLL;  0.0%
C1;  2.6%
C1E;  8.3%
C6; 83.2%
;Core 17
POLL;  0.0%
C1;  2.2%
C1E;  7.0%
C6; 86.2%
;Core 18
POLL;  0.0%
C1;  0.5%
C1E;  1.4%
C6; 96.2%
;Core 19
POLL;  0.0%
C1;  0.9%
C1E;  0.3%
C6; 97.5%
;Core 20
POLL;  0.1%
C1; 13.0%
C1E;  8.2%
C6; 60.2%
;Core 24
POLL;  0.0%
C1;  9.6%
C1E;  5.7%
C6; 74.6%
;Core 25
POLL;  0.0%
C1;  0.6%
C1E;  1.0%
C6; 92.6%
;Core 26
POLL;  0.0%
C1;  2.1%
C1E;  2.7%
C6; 91.0%
;Core 27
POLL;  0.3%
C1;  4.8%
C1E;  3.5%
C6; 59.3%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 10.0%;   0.1 ms;  0.5%;   0.1 ms
C1E;  4.1%;   0.7 ms;  3.5%;   0.6 ms
C6; 69.2%;   3.1 ms; 87.9%;   2.5 ms
CPU;1;CPU;19
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  3.0%;   0.1 ms;  0.0%;   0.0 ms
C1E;  1.8%;   0.5 ms;  0.7%;   0.2 ms
C6; 89.7%;   3.9 ms; 97.7%;   3.0 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  0.1%;   0.7 ms;  0.0%;   0.0 ms
C1E;  0.1%;   0.2 ms;  7.1%;   0.2 ms
C6; 98.9%;   9.5 ms; 90.6%;   2.6 ms
CPU;3;CPU;21
POLL;  0.2%;   0.0 ms;  0.0%;   0.0 ms
C1; 12.4%;   0.1 ms;  0.2%;   0.5 ms
C1E;  8.3%;   0.5 ms;  0.2%;   0.1 ms
C6; 53.8%;   1.7 ms; 98.7%;   6.4 ms
CPU;4;CPU;22
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  9.1%;   0.1 ms;  0.0%;   0.0 ms
C1E;  8.7%;   0.8 ms;  3.3%;   0.3 ms
C6; 71.8%;   3.5 ms; 94.3%;   2.3 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1; 23.2%
   0.1 ms;  0.3%;   0.1 ms;C1E; 10.5%
   0.5 ms;  5.9%;   0.6 ms;C6; 37.3%
   1.3 ms; 92.6%;   9.7 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  2.7%
   0.1 ms;  0.0%;   0.0 ms;C1E;  0.9%
   0.6 ms;  0.1%;   0.1 ms;C6; 91.2%
   7.6 ms; 99.1%;   4.7 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  0.3%
   0.3 ms;  0.3%;   1.3 ms;C1E;  2.0%
   0.2 ms;  0.0%;   0.0 ms;C6; 91.3%
   1.9 ms; 99.4%;  14.6 ms;CPU
8;CPU;26;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  5.5%
   0.1 ms;  0.0%;   0.0 ms;C1E;  3.9%
   0.4 ms;  0.7%;   0.2 ms;C6; 67.2%
   1.4 ms; 98.0%;   2.5 ms;
CPU;9
CPU;27;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  4.9%;   0.1 ms
  0.4%;   0.1 ms;C1E;  4.1%;   0.4 ms
 12.6%;   0.4 ms;C6; 80.6%;   1.8 ms
 85.6%;   5.7 ms;CPU;10
CPU;28;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  4.4%;   0.1 ms
  0.0%;   0.0 ms;C1E;  8.6%;   0.4 ms
  5.4%;   0.9 ms;C6; 79.8%;   3.4 ms
 92.3%;   9.8 ms;CPU;11
CPU;29;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  1.0%;   0.1 ms
  0.0%;   0.0 ms;C1E;  2.7%;   0.6 ms
  0.1%;   0.1 ms;C6; 93.2%;   3.1 ms
 99.1%;   5.3 ms;CPU;12
CPU;30;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  1.3%;   0.1 ms
  0.4%;   1.4 ms;C1E;  0.7%;   0.2 ms
  0.0%;   0.0 ms;C6; 95.1%;   3.1 ms
 99.7%;  72.2 ms;CPU;13
CPU;31;POLL;  0.2%;   0.0 ms
  0.0%;   0.0 ms;C1; 25.9%;   0.1 ms
  0.1%;   0.3 ms;C1E;  5.1%;   0.3 ms
 11.2%;   1.6 ms;C6; 32.0%;   0.7 ms
 88.4%;  52.6 ms;
CPU;14;CPU;32
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 19.2%;   0.1 ms;  0.0%;   0.0 ms
C1E; 11.5%;   0.5 ms;  0.0%;   0.0 ms
C6; 49.3%;   2.5 ms; 99.8%;  53.2 ms
CPU;15;CPU;33
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  1.1%;   0.1 ms;  0.0%;   0.0 ms
C1E;  1.9%;   0.4 ms;  0.1%;   0.1 ms
C6; 86.1%;   2.7 ms; 98.9%;   4.0 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  4.2%;   0.1 ms;  0.1%;   0.6 ms
C1E;  2.5%;   0.4 ms;  3.0%;   1.3 ms
C6; 85.3%;   4.6 ms; 96.7%;  40.8 ms
CPU;17;CPU;35
POLL;  0.5%;   0.0 ms;  0.0%;   0.0 ms
C1;  9.3%;   0.1 ms;  0.1%;   0.8 ms
C1E;  3.8%;   0.2 ms;  3.3%;   1.0 ms
C6; 22.3%;   0.3 ms; 96.4%;  37.6 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

;Core 0
Idle; 100.0% 
;Core 1
Idle; 100.0% 
;Core 2
Idle; 100.0% 
