____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 13:52:18 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  34330.6 wakeup/s;CPU:  237.3% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 31.7%;6101.6;Process;[PID 2565947] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  24.6 W  
 30.6%;5901.3;Process;[PID 2565945] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  23.8 W  
 27.8%;5564.0;Process;[PID 2565943] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  22.4 W  
 24.1%;5062.7;Process;[PID 2565946] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  20.4 W  
  1.4%;2554.2;Timer;tick_sched_timer;  10.1 W  
  1.6%;1036.2;Interrupt;[93] nvme3q9;  4.12 W  
  0.8%;686.8;Interrupt;[87] nvme3q3;  2.73 W  
  0.7%;677.4;Process;[PID 4956] kube-apiserver --advertise-address=172.19.0.4 --allow-privileged=true --authorization-mode=Node,RBAC --client-ca-fil;  2.69 W  
 37.7%;438.9;Process;[PID 2565981] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  2.32 W  
  1.4%;562.8;Interrupt;[132] nvme3q18;  2.25 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.0%
C1;  5.4%
C1E;  4.0%
C6; 82.8%
;
;
;
;
;

;Core 0
POLL;  0.1%
C1;  9.2%
C1E;  6.5%
C6; 69.0%
;Core 1
POLL;  0.0%
C1;  2.8%
C1E;  3.6%
C6; 83.3%
;Core 2
POLL;  0.0%
C1; 12.7%
C1E;  3.9%
C6; 68.4%
;Core 3
POLL;  0.0%
C1;  7.8%
C1E;  3.3%
C6; 70.8%
;Core 4
POLL;  0.0%
C1;  0.7%
C1E;  3.5%
C6; 86.7%
;Core 8
POLL;  0.0%
C1;  1.3%
C1E;  1.1%
C6; 93.4%
;Core 9
POLL;  0.0%
C1;  0.2%
C1E;  1.9%
C6; 95.9%
;Core 10
POLL;  0.0%
C1;  0.0%
C1E;  1.0%
C6; 96.7%
;Core 11
POLL;  0.0%
C1; 11.2%
C1E; 15.4%
C6; 62.2%
;Core 16
POLL;  0.0%
C1;  0.3%
C1E;  6.8%
C6; 91.5%
;Core 17
POLL;  0.0%
C1;  4.8%
C1E;  2.0%
C6; 87.4%
;Core 18
POLL;  0.0%
C1; 10.9%
C1E;  2.7%
C6; 75.8%
;Core 19
POLL;  0.0%
C1;  0.8%
C1E;  1.1%
C6; 96.2%
;Core 20
POLL;  0.0%
C1; 13.3%
C1E;  3.1%
C6; 64.1%
;Core 24
POLL;  0.0%
C1;  3.6%
C1E;  1.7%
C6; 88.1%
;Core 25
POLL;  0.0%
C1;  3.4%
C1E;  2.9%
C6; 89.1%
;Core 26
POLL;  0.0%
C1;  3.2%
C1E;  7.6%
C6; 85.3%
;Core 27
POLL;  0.1%
C1;  9.7%
C1E;  2.3%
C6; 68.7%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.2%;   0.0 ms;  0.0%;   0.0 ms
C1; 16.5%;   0.1 ms;  2.0%;   0.1 ms
C1E;  8.7%;   0.6 ms;  4.4%;   0.5 ms
C6; 55.3%;   1.8 ms; 82.6%;   2.8 ms
CPU;1;CPU;19
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  5.6%;   0.1 ms;  0.0%;   0.0 ms
C1E;  6.4%;   0.7 ms;  0.7%;   0.2 ms
C6; 72.3%;   2.7 ms; 94.2%;   2.8 ms
CPU;2;CPU;20
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 22.1%;   0.1 ms;  3.3%;   0.1 ms
C1E;  6.5%;   0.6 ms;  1.3%;   0.4 ms
C6; 45.3%;   2.4 ms; 91.5%;   5.8 ms
CPU;3;CPU;21
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 15.0%;   0.1 ms;  0.5%;   0.7 ms
C1E;  5.7%;   0.8 ms;  0.9%;   0.3 ms
C6; 43.6%;   2.7 ms; 97.8%;   5.1 ms
CPU;4;CPU;22
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  1.4%;   0.1 ms;  0.0%;   0.0 ms
C1E;  6.0%;   1.4 ms;  1.0%;   0.2 ms
C6; 78.5%;   3.5 ms; 94.9%;   1.9 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  2.4%
   0.1 ms;  0.2%;   1.2 ms;C1E;  2.0%
   0.6 ms;  0.1%;   0.3 ms;C6; 87.9%
   3.4 ms; 98.8%;   8.4 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  0.4%
   0.8 ms;  0.1%;   0.1 ms;C1E;  0.9%
   0.3 ms;  2.9%;   0.1 ms;C6; 97.3%
   3.6 ms; 94.4%;   2.5 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1E;  1.5%
   0.2 ms;  0.6%;   0.5 ms;C6; 94.9%
   2.0 ms; 98.4%;   5.6 ms;CPU
8;CPU;26;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1; 22.3%
   0.1 ms;  0.0%;   0.0 ms;C1E;  5.2%
   0.6 ms; 25.5%;   0.4 ms;C6; 51.9%
   1.8 ms; 72.5%;   5.9 ms;
CPU;9
CPU;27;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  0.5%;   0.8 ms
  0.0%;   0.0 ms;C1E;  5.2%;   0.4 ms
  8.4%;   0.5 ms;C6; 91.8%;   4.8 ms
 90.9%;  12.5 ms;CPU;10
CPU;28;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  9.6%;   0.1 ms
  0.0%;   0.0 ms;C1E;  3.3%;   0.5 ms
  0.8%;   0.6 ms;C6; 76.5%;   2.6 ms
 98.1%;   6.4 ms;CPU;11
CPU;29;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 21.9%;   0.1 ms
  0.0%;   0.0 ms;C1E;  5.2%;   0.6 ms
  0.3%;   0.2 ms;C6; 53.1%;   2.4 ms
 98.5%;   3.5 ms;CPU;12
CPU;30;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  1.5%;   0.1 ms
  0.0%;   0.0 ms;C1E;  2.1%;   0.4 ms
  0.0%;   0.0 ms;C6; 92.2%;   2.9 ms
100.1%;  50.9 ms;CPU;13
CPU;31;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 26.6%;   0.1 ms
  0.0%;   0.0 ms;C1E;  4.2%;   0.4 ms
  1.9%;   0.3 ms;C6; 30.5%;   1.9 ms
 97.7%;   9.8 ms;
CPU;14;CPU;32
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  6.8%;   0.1 ms;  0.4%;   2.0 ms
C1E;  3.4%;   0.4 ms;  0.0%;   0.0 ms
C6; 76.7%;   3.5 ms; 99.3%;  14.4 ms
CPU;15;CPU;33
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  6.9%;   0.1 ms;  0.0%;   0.0 ms
C1E;  4.0%;   0.3 ms;  1.9%;   0.3 ms
C6; 80.7%;   3.9 ms; 97.3%;   7.3 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  5.9%;   0.1 ms;  0.4%;   2.0 ms
C1E;  5.0%;   0.3 ms; 10.2%;   0.8 ms
C6; 81.1%;   2.6 ms; 89.3%;  32.4 ms
CPU;17;CPU;35
POLL;  0.2%;   0.0 ms;  0.0%;   0.0 ms
C1; 19.4%;   0.1 ms;  0.0%;   0.0 ms
C1E;  4.0%;   0.4 ms;  0.6%;   0.3 ms
C6; 41.2%;   1.4 ms; 96.1%;   6.9 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

;Core 0
